투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","2245980.0","2082828.0","-163152.0","7435251.0","6758162.0","-677088.0"
"보험","20353.0","15648.0","-4705.0","757760.0","616020.0","-141741.0"
"투신","56263.0","48533.0","-7729.0","1735213.0","1440945.0","-294268.0"
"사모","19368.0","30480.0","11112.0","691824.0","825108.0","133285.0"
"은행","35197.0","37050.0","1853.0","682556.0","470289.0","-212267.0"
"기타금융","4487.0","811.0","-3677.0","76010.0","56224.0","-19787.0"
"연기금 등","113310.0","87712.0","-25598.0","8355593.0","7456654.0","-898940.0"
"기관합계","2494958.0","2303063.0","-191895.0","1.9734208E7","1.7623402E7","-2110806.0"
"기타법인","192966.0","182987.0","-9978.0","1168250.0","953683.0","-214566.0"
"개인","1.1092888E7","1.1240554E7","147666.0","7.0442196E7","7.1931232E7","1489036.0"
"외국인","2459588.0","2512866.0","53278.0","1.8898372E7","1.972851E7","830138.0"
"기타외국인","23733.0","24663.0","930.0","165076.0","171274.0","6199.0"
"전체","1.6264132E7","1.6264132E7","0.0","1.10408101E8","1.10408101E8","0.0"
