역명,날짜,구분,05~06,06~07,07~08,08~09,09~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24,00~01,01~02
서울역(150),2016-10-01,승차,630 ,509 ,1068 ,2387 ,3272 ,3216 ,4369 ,4950 ,4827 ,3785 ,5523 ,5175 ,4817 ,4402 ,3361 ,2715 ,3044 ,2928 ,1237 ,71 ,0 
서울역(150),2016-10-01,하차,268 ,2100 ,2222 ,2783 ,3689 ,3680 ,3265 ,3968 ,3752 ,3976 ,4113 ,4086 ,4000 ,3569 ,3005 ,2295 ,2219 ,1845 ,1113 ,270 ,0 
서울역(150),2016-10-02,승차,407 ,360 ,673 ,1313 ,1945 ,2361 ,3055 ,3329 ,2940 ,2699 ,3399 ,3313 ,3405 ,3119 ,2913 ,2498 ,3208 ,2838 ,1040 ,49 ,0 
서울역(150),2016-10-02,하차,179 ,1068 ,1285 ,1678 ,2129 ,2287 ,2010 ,2559 ,2698 ,2531 ,2861 ,2883 ,2800 ,2753 ,2130 ,1693 ,1609 ,1131 ,668 ,217 ,0 
서울역(150),2016-10-03,승차,432 ,351 ,563 ,1216 ,1827 ,2374 ,3110 ,3801 ,3534 ,3077 ,4757 ,4425 ,4371 ,3920 ,3203 ,3045 ,3681 ,2451 ,1200 ,43 ,0 
서울역(150),2016-10-03,하차,211 ,992 ,1417 ,1862 ,2250 ,2617 ,2791 ,3209 ,3279 ,3152 ,3327 ,3390 ,3254 ,3367 ,2285 ,2030 ,1803 ,1316 ,595 ,157 ,0 
서울역(150),2016-10-04,승차,551 ,668 ,2404 ,4131 ,2855 ,2623 ,3290 ,3571 ,3401 ,2793 ,3828 ,3596 ,4646 ,8910 ,5337 ,3793 ,3843 ,2565 ,1145 ,186 ,0 
서울역(150),2016-10-04,하차,428 ,2420 ,5679 ,10934 ,5460 ,3060 ,2582 ,2537 ,2504 ,2381 ,2679 ,2772 ,3275 ,3562 ,2939 ,1759 ,1552 ,1390 ,735 ,279 ,23 
서울역(150),2016-10-05,승차,473 ,582 ,2037 ,3474 ,2812 ,2146 ,2863 ,3151 ,2254 ,2348 ,3061 ,3175 ,4625 ,9156 ,5898 ,3788 ,3650 ,2527 ,1492 ,234 ,0 
서울역(150),2016-10-05,하차,315 ,1868 ,5000 ,10823 ,5317 ,2717 ,2282 ,2284 ,2404 ,2399 ,2482 ,2688 ,3068 ,3610 ,2611 ,1856 ,1527 ,1384 ,900 ,354 ,24 
서울역(150),2016-10-06,승차,466 ,632 ,2042 ,3638 ,2728 ,2493 ,3117 ,3709 ,3209 ,2832 ,3893 ,4013 ,5093 ,9792 ,5607 ,3791 ,4323 ,2703 ,1518 ,253 ,0 
서울역(150),2016-10-06,하차,303 ,1955 ,4932 ,11342 ,5369 ,3036 ,2542 ,2373 ,2655 ,2480 ,2658 ,2945 ,3146 ,3714 ,2755 ,1731 ,1638 ,1642 ,974 ,404 ,26 
서울역(150),2016-10-07,승차,510 ,578 ,1905 ,3585 ,2911 ,2532 ,3465 ,3790 ,3481 ,3164 ,4605 ,4959 ,6038 ,12551 ,6093 ,4378 ,4813 ,4738 ,2522 ,464 ,0 
서울역(150),2016-10-07,하차,285 ,1844 ,4606 ,11048 ,5095 ,3146 ,2833 ,2667 ,2929 ,3038 ,3260 ,3556 ,3905 ,5136 ,3748 ,2422 ,2070 ,1999 ,1239 ,555 ,33 
서울역(150),2016-10-08,승차,565 ,492 ,1172 ,2649 ,3443 ,3802 ,4346 ,5232 ,5010 ,4027 ,6013 ,6183 ,5718 ,5174 ,4250 ,3374 ,3816 ,3598 ,1407 ,95 ,0 
서울역(150),2016-10-08,하차,251 ,1770 ,2242 ,2574 ,3678 ,3585 ,3094 ,3813 ,3909 ,4392 ,4290 ,4527 ,4228 ,3986 ,3331 ,3025 ,3729 ,2900 ,1186 ,426 ,0 
서울역(150),2016-10-09,승차,444 ,368 ,636 ,1745 ,2306 ,2782 ,3165 ,3468 ,3068 ,2666 ,3728 ,4322 ,3938 ,3812 ,3436 ,3045 ,3342 ,3018 ,958 ,30 ,0 
서울역(150),2016-10-09,하차,176 ,1096 ,1322 ,1765 ,2025 ,2300 ,2183 ,2512 ,2920 ,3789 ,3548 ,3650 ,3596 ,3597 ,2874 ,2275 ,1835 ,1343 ,548 ,181 ,0 
서울역(150),2016-10-10,승차,561 ,687 ,2962 ,4034 ,2824 ,2553 ,3449 ,3668 ,3248 ,3011 ,3938 ,3589 ,5004 ,9554 ,5419 ,3880 ,3801 ,2557 ,1423 ,213 ,0 
서울역(150),2016-10-10,하차,421 ,2573 ,5613 ,11299 ,5437 ,3074 ,2759 ,2534 ,2871 ,2543 ,2813 ,2983 ,3152 ,3951 ,2790 ,1903 ,1665 ,1463 ,663 ,269 ,15 
서울역(150),2016-10-11,승차,508 ,574 ,1833 ,3813 ,2537 ,2423 ,2972 ,3196 ,3108 ,2721 ,3696 ,3741 ,5316 ,9806 ,5295 ,3763 ,3739 ,2445 ,1296 ,201 ,0 
서울역(150),2016-10-11,하차,377 ,1857 ,5211 ,10541 ,5777 ,3073 ,2534 ,2474 ,2711 ,2471 ,2670 ,2790 ,3080 ,3828 ,2601 ,1670 ,1525 ,1652 ,714 ,253 ,12 
서울역(150),2016-10-12,승차,479 ,563 ,1974 ,3527 ,2741 ,2348 ,3042 ,3386 ,3005 ,2894 ,3453 ,3704 ,5386 ,10148 ,5193 ,3746 ,3764 ,2552 ,1324 ,214 ,1 
서울역(150),2016-10-12,하차,305 ,1823 ,5305 ,11138 ,5441 ,2876 ,2511 ,2406 ,2580 ,2380 ,2691 ,2695 ,3044 ,3928 ,2637 ,1723 ,1570 ,1414 ,839 ,328 ,29 
서울역(150),2016-10-13,승차,491 ,599 ,1931 ,3694 ,2808 ,2310 ,3113 ,3570 ,3145 ,2833 ,3848 ,3849 ,5313 ,9610 ,5631 ,3530 ,4550 ,2715 ,1420 ,250 ,0 
서울역(150),2016-10-13,하차,315 ,2035 ,5201 ,10976 ,5299 ,2972 ,2518 ,2558 ,2604 ,2468 ,2754 ,2866 ,3294 ,3986 ,2779 ,1843 ,1654 ,1685 ,851 ,352 ,29 
서울역(150),2016-10-14,승차,502 ,574 ,1869 ,3658 ,2799 ,2453 ,3243 ,3864 ,3332 ,3144 ,4912 ,5731 ,5983 ,11329 ,5838 ,4282 ,4185 ,4549 ,2409 ,326 ,0 
서울역(150),2016-10-14,하차,313 ,1831 ,4397 ,9837 ,5536 ,2920 ,2704 ,2737 ,2963 ,3060 ,3517 ,3514 ,3949 ,5536 ,3729 ,2327 ,1968 ,2141 ,1089 ,485 ,60 
서울역(150),2016-10-15,승차,586 ,496 ,982 ,2396 ,3183 ,3223 ,4193 ,4845 ,4713 ,3894 ,5397 ,5220 ,4944 ,4481 ,3782 ,3281 ,3602 ,3022 ,1234 ,67 ,0 
